Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
1,1,5909,23527,13699,10155,830,3636
1,3,10766,1175,2067,2096,301,167
2,3,27380,7184,12311,2809,4621,1022
1,1,31614,489,1495,3242,111,615
1,2,542,899,1664,414,88,522
1,3,6022,3354,3261,2507,212,686
1,3,327,918,4710,74,334,11
2,3,10362,9232,11009,737,3537,2342
1,3,10290,1981,2232,1038,168,2125
1,3,6884,1046,1167,2069,593,378
1,1,4042,2204,1563,2286,263,689
1,3,20398,1137,3,4407,3,975
2,1,18,7504,15205,1285,4797,6372
1,3,11535,1666,1428,6838,64,743
1,3,255,5758,5923,349,4595,1328
1,3,717,3587,6532,7530,529,894
1,3,16731,3922,7994,688,2371,838
2,3,180,3485,20292,959,5618,666
2,3,19899,5332,8713,8132,764,648
1,3,622,55,137,75,7,8
2,3,6006,11093,18881,1159,7425,2098
1,3,45640,6958,6536,7368,1532,230
1,3,18815,3610,11107,1148,2134,2963
1,3,5509,1461,2251,547,187,409
1,3,14100,2132,3445,1336,1491,548
1,3,14903,2032,2479,576,955,328
1,3,16705,2037,3202,10643,116,1365
1,1,14755,899,1382,1765,56,749
1,3,11243,2408,2593,15348,108,1886
1,3,5264,3683,5005,1057,2024,1130
2,2,243,12939,8852,799,3909,211
2,2,11223,14881,26839,1234,9606,1102
1,3,17773,1366,2474,3378,811,418
1,3,38793,3154,2648,1034,96,1242
1,3,22335,1196,2406,2046,101,558
1,3,4420,5139,2661,8872,1321,181
1,1,1956,891,5226,1383,5,1328
2,3,1420,10810,16267,1593,6766,1838
1,3,56159,555,902,10002,212,2916
1,1,7363,475,585,1112,72,216
2,3,4048,5164,10391,130,813,179
1,3,2101,589,314,346,70,310
1,1,8656,2746,2501,6845,694,980
1,3,1640,3259,3655,868,1202,1653
2,3,1989,10690,19460,233,11577,2153
1,3,29729,4786,7326,6130,361,1083
1,3,112151,29627,18148,16745,4948,8550
2,2,161,7460,24773,617,11783,2410
2,3,12205,12697,28540,869,12034,1009
1,3,17770,4591,1617,9927,246,532
